state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,hash
AK,387,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,31375.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,339.0,5/14 00:00,5/14 15:23,10,0.0,31762,31762,31762,2,2020-05-14T04:00:00Z,2020-05-14T19:23:00Z,0dc63104e3cdb16fed6b189200f640d6b260d477
AL,10968,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,131017.0,0.0,0.0,1350.0,0.0,489.0,0.0,291.0,0.0,5/14 00:00,5/14 16:51,467,1350.0,141985,141985,141985,1,2020-05-14T04:00:00Z,2020-05-14T20:51:00Z,f3e2ed66998c3bd6d16794af845322a6bbbd7935
AR,4236,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,71582.0,0.0,64.0,509.0,0.0,0.0,13.0,100.0,3277.0,5/14 08:20,5/14 14:24,97,509.0,75818,75818,75818,5,2020-05-14T12:20:00Z,2020-05-14T18:24:00Z,1507aeefbee1fb235a802b8d3f9ee68ce257b8fc
AZ,12674,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,121664.0,0.0,781.0,1636.0,323.0,0.0,201.0,0.0,3074.0,5/14 00:00,5/14 14:39,624,1636.0,134338,134338,134338,4,2020-05-14T04:00:00Z,2020-05-14T18:39:00Z,8518b5ceb5d55bff99a1ae9d20b11ec9739eb571
CA,73164,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,1031487.0,0.0,4655.0,0.0,1324.0,0.0,0.0,0.0,0.0,5/14 00:00,5/14 14:48,3032,0.0,1104651,1104651,1104651,6,2020-05-14T04:00:00Z,2020-05-14T18:48:00Z,8025a311e0a909fd9fb3695fe61be901cda8bd5f
CO,20475,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,94044.0,0.0,685.0,3735.0,0.0,0.0,0.0,0.0,3217.0,5/14 00:00,5/14 15:15,1062,3735.0,114519,114519,114519,8,2020-05-14T04:00:00Z,2020-05-14T19:15:00Z,106fc07211cd0ae471a64787e1050dd9338b2099
CT,35464,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,114098.0,0.0,1103.0,10946.0,0.0,0.0,0.0,0.0,6264.0,5/13 20:30,5/14 16:55,3219,10946.0,149562,149562,149562,9,2020-05-14T00:30:00Z,2020-05-14T20:55:00Z,6a226bc221ea87d3fe99bf9e662c99fd2279276b
DC,6736,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,26263.0,0.0,397.0,0.0,0.0,0.0,90.0,0.0,966.0,5/13 00:00,5/14 14:55,358,0.0,32999,32999,32999,11,2020-05-13T04:00:00Z,2020-05-14T18:55:00Z,5f755880814aa9691c792180ddf88941f0be139f
DE,7223,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,29634.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,3080.0,5/13 18:00,5/14 16:20,260,0.0,36857,36857,36857,10,2020-05-13T22:00:00Z,2020-05-14T20:20:00Z,b0edfcff0ba85f4981f0150b395c9bf02184b308
FL,43210,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,565627.0,1228.0,472.0,7993.0,232.0,0.0,0.0,0.0,0.0,5/14 12:33,5/14 15:05,1948,7993.0,610065,608837,608837,12,2020-05-14T16:33:00Z,2020-05-14T19:05:00Z,c6468090b93b009af2ac14cb0e82d8d4813e0d77
GA,35858,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,250023.0,0.0,0.0,6345.0,0.0,1513.0,0.0,0.0,0.0,5/14 13:30,5/14 14:12,1527,6345.0,285881,285881,285881,13,2020-05-14T17:30:00Z,2020-05-14T18:12:00Z,5b5e109b4860b293a51bfafacfd3d4bf2486b5f4
HI,638,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,38243.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,563.0,5/13 18:00,5/14 14:29,17,81.0,38881,38881,38881,15,2020-05-13T22:00:00Z,2020-05-14T18:29:00Z,9e4325ab6e20327385a106328169202d438a6515
IA,13675,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,75619.0,0.0,405.0,0.0,134.0,0.0,93.0,0.0,6231.0,5/13 00:00,5/14 14:38,318,0.0,89294,89294,89294,19,2020-05-13T04:00:00Z,2020-05-14T18:38:00Z,4a63ec121c9f22391dbc2339710ff20a7fd6460d
ID,2324,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,31430.0,0.0,0.0,212.0,0.0,88.0,0.0,0.0,1557.0,5/13 19:00,5/14 14:19,69,212.0,33754,33754,33754,16,2020-05-13T23:00:00Z,2020-05-14T18:19:00Z,14b2e36a1b9fe0aa7eeb34ec8de0d6f8fde07151
IL,87937,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,424100.0,0.0,4473.0,0.0,1132.0,0.0,689.0,0.0,0.0,5/14 00:00,5/14 16:06,3928,0.0,512037,512037,512037,17,2020-05-14T04:00:00Z,2020-05-14T20:06:00Z,0de0aa3313dc96e702da4bae128a0448cb8a6a10
IN,26053,1.0,1.0,1.0,0.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,134186.0,0.0,1381.0,4389.0,488.0,990.0,217.0,0.0,0.0,5/13 23:59,5/14 14:59,1646,4389.0,160239,160239,160239,18,2020-05-14T03:59:00Z,2020-05-14T18:59:00Z,77134d3755ce5bfd526f19a2a78ae95a229af2a6
KS,7468,1.0,1.0,1.0,0.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,50160.0,0.0,0.0,704.0,0.0,238.0,0.0,108.0,422.0,5/13 10:00,5/14 14:34,164,704.0,57628,57628,57628,20,2020-05-13T14:00:00Z,2020-05-14T18:34:00Z,0c4f3806a3257587192bbf50744f7d6744a98571
KY,7080,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,110315.0,0.0,377.0,1835.0,215.0,784.0,0.0,0.0,2649.0,5/13 17:00,5/14 15:10,326,1835.0,117395,117395,117395,21,2020-05-13T21:00:00Z,2020-05-14T19:10:00Z,910df18bd57521ab978f6534b535b6beef6e66cf
LA,33489,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,214099.0,0.0,1193.0,0.0,0.0,0.0,140.0,0.0,22608.0,5/14 13:00,5/14 15:16,2417,0.0,247588,247588,247588,22,2020-05-14T17:00:00Z,2020-05-14T19:16:00Z,6565297c1991bc1d11f879df7d53e2018d54070f
MA,80497,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,329535.0,0.0,3101.0,8032.0,794.0,0.0,0.0,0.0,0.0,5/13 10:00,5/14 16:56,5315,8032.0,410032,410032,410032,25,2020-05-13T14:00:00Z,2020-05-14T20:56:00Z,dbf6e6fbc9de52509823d7a33562cac14f9c075b
MD,35903,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,142551.0,0.0,1538.0,6553.0,569.0,0.0,0.0,0.0,2569.0,5/14 10:00,5/14 14:18,1866,6553.0,178454,178454,178454,24,2020-05-14T14:00:00Z,2020-05-14T18:18:00Z,64604ca13eaa14679ec9565e5b94807caa41bbf2
ME,1565,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,22092.0,0.0,37.0,207.0,18.0,0.0,7.0,0.0,958.0,5/14 12:30,5/14 14:44,69,207.0,23657,23657,23657,23,2020-05-14T16:30:00Z,2020-05-14T18:44:00Z,6df94491921357d7c57ce67f4e3401c1bdc32409
MI,49582,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,286301.0,0.0,1330.0,0.0,653.0,0.0,515.0,0.0,22686.0,5/14 11:00,5/14 15:49,4787,0.0,335883,335883,335883,26,2020-05-14T15:00:00Z,2020-05-14T19:49:00Z,57b612a0594f89cd92ab580443dfcf89f88681fe
MN,13435,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,115317.0,0.0,498.0,1915.0,203.0,663.0,0.0,0.0,8473.0,5/13 17:00,5/14 14:51,663,1915.0,128752,128752,128752,27,2020-05-13T21:00:00Z,2020-05-14T18:51:00Z,45c06625bfeae88c4990018fe751a03467428f8e
MO,10317,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,116793.0,0.0,796.0,0.0,0.0,0.0,115.0,0.0,0.0,5/14 15:00,5/14 16:43,562,0.0,127110,127110,127110,29,2020-05-14T19:00:00Z,2020-05-14T20:43:00Z,7874b8d9b8cf46b8836d9ada8099eb28b9503b70
MS,10483,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,94843.0,0.0,589.0,1667.0,131.0,0.0,72.0,0.0,6268.0,5/13 19:00,5/14 15:30,480,1667.0,105326,105326,105326,28,2020-05-13T23:00:00Z,2020-05-14T19:30:00Z,a6113af842042a518be405b3022a64526dfa6d9c
MT,462,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,24087.0,0.0,3.0,63.0,0.0,0.0,0.0,0.0,431.0,5/14 00:00,5/14 15:37,16,63.0,24549,24549,24549,30,2020-05-14T04:00:00Z,2020-05-14T19:37:00Z,da00978f20b7df221ab172217677df4ac8e64d78
