posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
8664,0,2,308,8,316
34077,11,32,723,237,960
21834,3,0,614,89,703
3,0,0,0,0,0
45310,11,0,1058,156,1214
216486,63,0,13192,1086,14278
39580,21,63,588,250,838
50143,197,0,3536,766,4302
11525,5,0,-132,139,7
13102,5,0,545,253,798
213509,72,284,9185,1144,10329
64090,51,153,1531,764,2295
978,0,0,32,0,32
19803,0,1,370,13,383
19869,4,0,888,96,984
15398,6,6,273,11,284
116929,80,0,4967,1346,6313
48396,48,0,1951,428,2379
14668,7,15,453,68,521
27697,11,14,852,162,1014
121928,90,0,3073,433,3506
132023,151,0,3717,1755,5472
55763,47,109,1470,560,2030
14846,4,2,2468,36,2504
89697,153,0,2413,1058,3471
40242,8,40,887,114,1001
49012,14,0,825,209,1034
40,0,0,0,0,0
38151,11,49,0,273,273
9583,0,1,344,5,349
67827,9,0,2689,99,2788
11317,0,2,377,24,401
11729,2,0,342,30,372
12166,9,26,437,119,556
144021,351,0,2041,2206,4247
32850,5,0,818,62,880
27655,11,0,871,123,994
526012,752,0,15298,11571,26869
71552,37,81,3040,638,3678
29219,15,22,871,79,950
33351,3,20,958,30,988
137584,63,0,2808,1145,3953
7799,6,0,541,51,592
25897,7,0,2719,278,2997
34733,10,0,758,103,861
9859,0,6,383,180,563
80896,11,30,1809,256,2065
151810,46,0,4475,868,5343
47614,1,8,1008,130,1138
44169,41,1048,1077,329,1406
382,0,0,5,0,5
11081,1,0,489,7,496
122854,25,0,28769,156,28925
43047,12,42,1329,166,1495
17656,1,0,556,62,618
6329,1,0,353,12,365
8348,1,0,510,8,518
33117,11,36,3793,142,3935
21131,0,0,257,70,327
3,0,0,0,0,0
44096,9,0,645,104,749
202208,71,0,10336,990,11326
38742,4,21,1201,7,1208
45841,69,0,924,608,1532
11518,14,0,481,103,584
12304,6,0,348,136,484
203180,54,227,6207,766,6973
61795,37,180,3866,908,4774
946,0,0,41,0,41
19420,0,0,571,5,576
18885,6,0,0,189,189
15114,6,3,206,27,233
110616,74,0,3626,1222,4848
46017,38,0,1187,291,1478
14147,7,18,233,50,283
26683,7,6,732,85,817
118422,129,0,9829,502,10331
126551,113,0,3206,1296,4502
53733,40,147,1446,536,1982
12342,1,0,0,36,36
86226,166,0,2216,1366,3582
39241,9,44,769,45,814
47978,19,0,2252,298,2550
40,0,0,0,2,2
37878,13,47,6749,145,6894
9234,0,3,131,5,136
65039,22,0,1443,208,1651
10916,1,2,125,10,135
11357,1,0,328,57,385
11610,0,0,368,35,403
139774,362,0,6065,4240,10305
31970,5,181,1355,100,1455
26661,6,0,1080,117,1197
499143,778,3489,13609,7177,20786
67874,50,123,2584,178,2762
28269,9,31,5295,115,5410
32363,2,12,1193,49,1242
133631,60,0,2693,1146,3839
7207,0,0,324,20,344
22900,7,0,1964,275,2239
33872,15,179,2213,234,2447
9296,0,1,174,120,294
78831,15,54,2423,213,2636
146467,31,0,12523,718,13241
46476,1,12,640,49,689
42763,5,0,938,424,1362
377,0,0,4,0,4
10585,1,0,215,4,219
93929,8,0,0,127,127
41552,16,56,1228,127,1355
17038,0,0,369,14,383
5964,0,2,0,0,0
7830,0,1,-213,5,-208
29182,6,20,7390,209,7599
20804,3,0,952,130,1082
3,0,0,0,0,0
43347,7,0,1075,163,1238
190882,36,0,0,554,554
37534,30,96,1870,791,2661
44309,48,0,1743,1346,3089
10934,3,0,214,80,294
11820,2,0,571,146,717
196207,18,61,12208,1246,13454
57021,31,84,1705,863,2568
905,0,0,77,2,79
18844,1,0,863,13,876
18696,2,0,981,123,1104
14881,0,1,554,19,573
105768,74,0,3860,1173,5033
44539,7,0,1742,308,2050
13864,6,11,572,39,611
25866,3,208,1176,123,1299
108091,44,0,3625,421,4046
122049,88,105,3927,1392,5319
51751,27,115,1276,711,1987
12306,0,4,5520,65,5585
82644,115,0,2210,997,3207
38427,0,0,977,29,1006
45428,4,0,0,228,228
38,0,0,0,0,0
30984,2,1,9410,161,9571
9098,1,0,178,7,185
63388,5,0,953,296,1249
10781,0,1,408,23,431
10972,0,0,258,23,281
11207,0,6,226,56,282
129469,93,0,0,2734,2734
30515,6,0,1752,71,1823
25464,2,0,718,135,853
478357,671,118,10419,6337,16756
65112,21,85,1498,371,1869
22859,3,11,0,99,99
31121,1,10,1306,57,1363
129792,17,0,3536,1366,4902
6863,1,0,141,6,147
20661,10,331,0,311,311
31425,0,0,0,0,0
9002,0,1,311,138,449
76195,8,12,5216,302,5518
133226,16,0,8271,422,8693
45787,0,6,1493,60,1553
41401,8,0,943,473,1416
373,0,0,23,0,23
10366,1,0,504,21,525
93802,17,0,0,187,187
40197,10,19,853,87,940
16655,1,164,383,15,398
5964,1,1,491,14,505
8038,0,0,291,15,306
21583,2,35,0,334,334
19722,3,0,1090,54,1144
3,0,0,0,0,0
42109,7,0,1433,146,1579
190328,110,0,15930,2322,18252
34873,24,64,1837,383,2220
41220,60,0,864,525,1389
10640,3,0,504,97,601
11103,0,0,0,0,0
182753,27,111,8959,861,9820
54453,5,26,2445,293,2738
826,0,0,0,0,0
17968,0,1,416,21,437
17592,7,0,383,77,460
14308,2,3,533,11,544
100735,43,0,6914,1672,8586
42489,13,0,2781,493,3274
13253,1,5,841,69,910
24567,4,0,132,147,279
104045,34,0,6549,581,7130
116730,70,115,5339,2615,7954
49764,29,151,1995,531,2526
6721,0,6,0,17,17
79437,95,0,2778,645,3423
37421,6,21,1823,194,2017
45200,1,0,1892,136,2028
38,0,0,0,0,0
21413,3,20,0,139,139
8913,0,1,322,10,332
62139,1,0,1538,208,1746
10350,1,3,255,15,270
10691,0,0,615,91,706
