date,death
20200122,0
20200123,0
20200124,0
20200125,0
20200126,0
20200127,0
20200128,0
20200129,0
20200130,0
20200131,0
20200201,0
20200202,0
20200203,0
20200204,0
20200205,0
20200206,0
20200207,0
20200208,0
20200209,0
20200210,0
20200211,0
20200212,0
20200213,0
20200214,0
20200215,0
20200216,0
20200217,0
20200218,0
20200219,0
20200220,0
20200221,0
20200222,0
20200223,0
20200224,0
20200225,0
20200226,2
20200227,2
20200228,4
20200229,5
20200301,8
20200302,11
20200303,14
20200304,16
20200305,20
20200306,26
20200307,27
20200308,31
20200309,35
20200310,37
20200311,43
20200312,51
20200313,55
20200314,63
20200315,77
20200316,98
20200317,120
20200318,145
20200319,189
20200320,253
20200321,306
20200322,437
20200323,521
20200324,725
20200325,953
20200326,1231
20200327,1604
20200328,2038
20200329,2527
20200330,3060
20200331,3877
20200401,4823
20200402,5924
20200403,7112
20200404,8487
20200405,9714
20200406,10937
20200407,12841
20200408,14737
20200409,16659
20200410,18751
20200411,20686
20200412,22237
20200413,23754
20200414,26066
20200415,28628
20200416,30789
20200417,32854
20200418,34641
20200419,36300
20200420,37999
20200421,40554
20200422,42595
20200423,44409
20200424,46251
20200425,48069
20200426,49164
20200427,50354
20200428,52482
20200429,55182
20200430,57320
20200501,59059
20200502,60710
20200503,61868
20200504,62780
20200505,65307
20200506,67256
20200507,70002
20200508,71762
20200509,73291
20200510,74270
20200511,75107
20200512,76650
20200513,78343
20200514,80084
