date,death,totalTestResults
20200415,9,8664
20200415,121,34077
20200415,33,21834
20200415,,3
20200415,142,45310
20200415,821,216486
20200415,329,39580
20200415,868,50143
20200415,72,11525
20200415,46,13102
20200415,609,213509
20200415,552,64090
20200415,5,978
20200415,9,19803
20200415,53,19869
20200415,39,15398
20200415,948,116929
20200415,436,48396
20200415,76,14668
20200415,115,27697
20200415,1103,121928
20200415,1108,132023
20200415,349,55763
20200415,24,14846
20200415,1921,89697
20200415,87,40242
20200415,147,49012
20200415,2,40
20200415,122,38151
20200415,7,9583
20200415,117,67827
20200415,9,11317
20200415,20,11729
20200415,32,12166
20200415,3156,144021
20200415,36,32850
20200415,131,27655
20200415,11586,526012
20200415,361,71552
20200415,123,29219
20200415,58,33351
20200415,647,137584
20200415,51,7799
20200415,87,25897
20200415,107,34733
20200415,6,9859
20200415,135,80896
20200415,364,151810
20200415,20,47614
20200415,195,44169
20200415,1,382
20200415,30,11081
20200415,541,122854
20200415,182,43047
20200415,10,17656
20200415,2,6329
20200414,9,8348
20200414,110,33117
20200414,30,21131
20200414,,3
20200414,131,44096
20200414,758,202208
20200414,308,38742
20200414,671,45841
20200414,67,11518
20200414,41,12304
20200414,537,203180
20200414,501,61795
20200414,5,946
20200414,9,19420
20200414,49,18885
20200414,33,15114
20200414,868,110616
20200414,388,46017
20200414,69,14147
20200414,104,26683
20200414,1013,118422
20200414,957,126551
20200414,302,53733
20200414,20,12342
20200414,1768,86226
20200414,79,39241
20200414,133,47978
20200414,2,40
20200414,111,37878
20200414,7,9234
20200414,108,65039
20200414,9,10916
20200414,18,11357
20200414,23,11610
20200414,2805,139774
20200414,31,31970
20200414,120,26661
20200414,10834,499143
20200414,324,67874
20200414,108,28269
20200414,55,32363
20200414,584,133631
20200414,45,7207
20200414,80,22900
20200414,97,33872
20200414,6,9296
20200414,124,78831
20200414,318,146467
20200414,19,46476
20200414,154,42763
20200414,1,377
20200414,29,10585
20200414,516,93929
20200414,170,41552
20200414,9,17038
20200414,1,5964
20200413,8,7830
20200413,99,29182
20200413,30,20804
20200413,,3
20200413,122,43347
20200413,687,190882
20200413,304,37534
20200413,602,44309
20200413,53,10934
20200413,35,11820
20200413,483,196207
20200413,464,57021
20200413,5,905
20200413,9,18844
20200413,43,18696
20200413,27,14881
20200413,794,105768
20200413,350,44539
20200413,62,13864
20200413,97,25866
20200413,884,108091
20200413,844,122049
20200413,262,51751
20200413,19,12306
20200413,1602,82644
20200413,70,38427
20200413,114,45428
20200413,2,38
20200413,98,30984
20200413,7,9098
20200413,86,63388
20200413,8,10781
20200413,17,10972
20200413,23,11207
20200413,2443,129469
20200413,26,30515
20200413,114,25464
20200413,10056,478357
20200413,274,65112
20200413,99,22859
20200413,53,31121
20200413,524,129792
20200413,45,6863
20200413,73,20661
20200413,82,31425
20200413,6,9002
20200413,109,76195
20200413,287,133226
20200413,18,45787
20200413,149,41401
20200413,1,373
20200413,28,10366
20200413,508,93802
20200413,154,40197
20200413,9,16655
20200413,1,5964
20200412,8,8038
20200412,93,21583
20200412,27,19722
20200412,,3
20200412,115,42109
20200412,651,190328
20200412,274,34873
20200412,554,41220
20200412,50,10640
20200412,33,11103
20200412,465,182753
20200412,433,54453
20200412,5,826
20200412,8,17968
20200412,41,17592
20200412,27,14308
20200412,720,100735
20200412,343,42489
20200412,56,13253
20200412,94,24567
20200412,840,104045
20200412,756,116730
20200412,235,49764
20200412,19,6721
20200412,1487,79437
20200412,70,37421
20200412,110,45200
20200412,2,38
20200412,96,21413
20200412,6,8913
20200412,81,62139
20200412,8,10350
20200412,17,10691
20200412,23,10925
20200412,2350,126735
20200412,20,28692
20200412,112,24611
20200412,9385,461601
20200412,253,63243
20200412,96,22760
20200412,52,29758
20200412,507,124890
20200412,44,6716
20200412,63,20350
20200412,82,31425
20200412,6,8553
20200412,101,70677
20200412,271,124533
20200412,18,44234
20200412,141,39985
20200412,1,350
20200412,27,9841
20200412,491,93615
20200412,144,39257
20200412,8,16257
20200412,0,5459
20200411,8,7732
20200411,91,21249
20200411,24,18578
20200411,,3
20200411,108,40530
20200411,541,172076
20200411,250,32653
20200411,494,39831
20200411,47,10039
20200411,33,11103
20200411,438,172933
20200411,428,51715
20200411,5,826
20200411,8,17531
20200411,34,17132
20200411,25,13764
20200411,677,92149
20200411,330,39215
20200411,55,12343
20200411,90,24288
20200411,806,96915
20200411,686,108776
20200411,206,47238
20200411,19,6704
20200411,1392,76014
20200411,64,35404
20200411,109,43172
20200411,2,38
20200411,93,21274
20200411,6,8581
20200411,80,60393
20200411,7,10080
20200411,17,9985
20200411,22,10493
20200411,2183,120193
20200411,19,27098
20200411,102,23587
20200411,8627,440980
20200411,247,60408
20200411,94,22658
20200411,48,27224
20200411,494,120153
20200411,42,6371
20200411,56,18207
20200411,80,30093
20200411,6,8004
20200411,101,66828
20200411,254,120533
20200411,18,42546
20200411,130,37999
20200411,1,350
20200411,25,9258
20200411,491,93615
20200411,137,37893
20200411,5,15452
20200411,0,5459
20200410,7,7432
20200410,80,21026
20200410,23,17120
20200410,0,3
20200410,97,37734
20200410,541,164863
20200410,250,32653
20200410,448,36288
20200410,38,9355
20200410,23,11741
20200410,390,162830
20200410,416,46147
20200410,4,792
20200410,6,16149
20200410,31,15953
20200410,24,13094
20200410,596,87527
20200410,300,35040
20200410,50,11414
20200410,90,24288
20200410,755,92280
20200410,599,102372
20200410,171,44448
20200410,17,6674
20200410,1281,72044
20200410,57,33894
20200410,96,40740
20200410,2,38
20200410,82,21101
20200410,6,8297
20200410,74,57645
20200410,6,9608
20200410,15,9354
20200410,21,9958
20200410,1932,113523
20200410,19,27098
20200410,86,22749
20200410,7844,417885
20200410,231,58531
20200410,88,22164
20200410,44,25627
20200410,416,113019
20200410,39,5846
20200410,49,14296
20200410,72,28183
20200410,6,7647
20200410,98,62799
20200410,226,115718
20200410,17,40762
20200410,121,35459
20200410,1,323
20200410,24,8232
20200410,446,93615
20200410,128,36293
20200410,5,14555
20200410,0,5056
20200409,7,7223
20200409,74,20827
20200409,21,14951
20200409,0,3
20200409,89,37178
20200409,492,163500
20200409,193,29199
20200409,380,33502
20200409,32,8724
20200409,23,9890
20200409,354,152549
20200409,379,41085
20200409,4,721
20200409,5,15751
20200409,29,14973
20200409,18,12531
20200409,528,80857
20200409,245,32133
20200409,42,10775
20200409,73,21801
20200409,702,86919
20200409,503,94958
20200409,138,41529
20200409,16,6648
20200409,1076,67054
20200409,50,32294
20200409,77,38494
20200409,2,38
20200409,76,20892
20200409,6,7860
20200409,65,47809
20200409,5,8990
20200409,14,8683
20200409,18,9551
20200409,1700,107192
20200409,16,23807
20200409,80,21771
20200409,7067,391549
20200409,213,55985
20200409,80,20279
20200409,44,25627
20200409,338,105602
