date,death,totalTestResults
20200514,80084.0,10341775
20200513,78343.0,9974831
20200512,76650.0,9650405
20200511,75107.0,9348458
20200510,74270.0,8960162
20200509,73291.0,8686500
20200508,71762.0,8390006
20200507,70002.0,8090861
20200506,67256.0,7786793
20200505,65307.0,7544328
20200504,62780.0,7285374
20200503,61868.0,7053366
20200502,60710.0,6805241
20200501,59059.0,6552602
20200430,57320.0,6255769
20200429,55182.0,6026170
20200428,52482.0,5796273
20200427,50354.0,5593495
20200426,49164.0,5404137
20200425,48069.0,5197717
20200424,46251.0,4920802
20200423,44409.0,4688701
20200422,42595.0,4496319
20200421,40554.0,4181428
20200420,37999.0,4033318
20200419,36300.0,3885586
20200418,34641.0,3725196
20200417,32854.0,3582859
20200416,30789.0,3424690
20200415,28628.0,3262564
20200414,26066.0,3125858
20200413,23754.0,2975315
20200412,22237.0,2842322
20200411,20686.0,2701760
20200410,18751.0,2562049
20200409,16659.0,2404262
20200408,14737.0,2238429
20200407,12841.0,2093996
20200406,10937.0,1941251
20200405,9714.0,1790521
20200404,8487.0,1670862
20200403,7112.0,1442065
20200402,5924.0,1309833
20200401,4823.0,1191810
20200331,3877.0,1084228
20200330,3060.0,973134
20200329,2527.0,855684
20200328,2038.0,766904
20200327,1604.0,662538
20200326,1231.0,559468
20200325,953.0,459004
20200324,725.0,375517
20200323,521.0,306904
20200322,437.0,249769
20200321,306.0,205167
20200320,253.0,160413
20200319,189.0,124258
20200318,145.0,96858
20200317,120.0,72185
20200316,98.0,56611
20200315,77.0,38948
20200314,63.0,31273
20200313,55.0,26773
20200312,51.0,17717
20200311,43.0,12580
20200310,37.0,8832
20200309,35.0,6420
20200308,31.0,4624
20200307,27.0,3753
20200306,26.0,2983
20200305,20.0,2188
20200304,16.0,1597
20200303,14.0,527
20200302,11.0,282
20200301,8.0,121
20200229,5.0,41
20200228,4.0,9
20200227,2.0,2
20200226,2.0,2
20200225,0.0,2
20200224,0.0,2
20200223,0.0,2
20200222,0.0,2
20200221,0.0,2
20200220,0.0,2
20200219,0.0,2
20200218,0.0,2
20200217,0.0,2
20200216,0.0,2
20200215,0.0,2
20200214,0.0,2
20200213,0.0,2
20200212,0.0,2
20200211,0.0,2
20200210,0.0,2
20200209,0.0,2
20200208,0.0,2
20200207,0.0,2
20200206,0.0,1
20200205,0.0,1
20200204,0.0,1
20200203,0.0,1
20200202,0.0,1
20200201,0.0,1
20200131,0.0,1
20200130,0.0,1
20200129,0.0,1
20200128,0.0,1
20200127,0.0,1
20200126,0.0,1
20200125,0.0,1
20200124,0.0,1
20200123,0.0,1
20200122,0.0,1
