date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200514,56,1407507,8934268,2673,44317,152396,10901,6795,5940,582,246414,80084,152396,10344448,10341775,10341775,1741,3049,341741,25203,366944
20200513,56,1382304,8592527,1983,44514,149347,10978,6713,6156,572,243430,78343,149347,9976814,9974831,9974831,1693,2097,304006,20420,324426
20200512,56,1361884,8288521,1803,45199,147250,11241,5595,6352,559,238857,76650,147250,9652208,9650405,9650405,1543,1269,280475,21472,301947
20200511,56,1340412,8008046,1989,44191,145981,11147,6488,6350,551,232142,75107,145981,9350447,9348458,9348458,837,1201,370691,17605,388296
20200510,56,1322807,7637355,3095,44943,144780,11393,6445,6395,547,215591,74270,144780,8963257,8960162,8960162,979,1018,251950,21712,273662
20200509,56,1301095,7385405,3054,46637,143762,11496,6367,6551,543,211976,73291,143762,8689554,8686500,8686500,1529,1725,271315,25179,296494
20200508,56,1275916,7114090,3307,47718,142037,11780,6294,6788,531,198459,71762,142037,8393313,8390006,8390006,1760,6861,271366,27779,299145
20200507,56,1248137,6842724,3171,49130,135176,12137,5174,7070,529,194528,70002,135176,8094032,8090861,8090861,2746,3699,276488,27580,304068
20200506,56,1220557,6566236,2742,50227,131477,9380,4911,4753,449,189425,67256,131477,7789535,7786793,7786793,1949,2120,217513,24952,242465
20200505,56,1195605,6348723,2633,50906,129357,9348,4794,4818,439,189336,65307,129357,7546961,7544328,7544328,2527,1960,236802,22152,258954
20200504,56,1173453,6111921,2791,50062,127397,9366,4579,4848,430,186752,62780,127397,7288165,7285374,7285374,912,1601,210561,21447,232008
20200503,56,1152006,5901360,2812,50312,125796,9292,4502,4761,425,179733,61868,125796,7056178,7053366,7053366,1158,1936,221838,26287,248125
20200502,56,1125719,5679522,1578,51734,123860,9403,4386,4845,375,174987,60710,123860,6806819,6805241,6805241,1651,2112,222601,30038,252639
20200501,56,1095681,5456921,1639,52370,121748,9205,4300,4707,376,163644,59059,121748,6554241,6552602,6552602,1739,9761,263655,33178,296833
20200430,56,1062503,5193266,2775,53793,111987,9486,4192,4712,373,154648,57320,111987,6258544,6255769,6255769,2138,2297,200253,29346,229599
20200429,56,1033157,4993013,4832,54930,109690,9612,4093,4796,365,147165,55182,109690,6031002,6026170,6026170,2700,3382,202877,27020,229897
20200428,56,1006137,4790136,4206,54940,106308,9491,3798,4760,195,139041,52482,106308,5800479,5796273,5796273,2128,2059,177775,25003,202778
20200427,56,981134,4612361,4077,54971,104249,9655,3720,4867,195,121323,50354,104249,5597572,5593495,5593495,1190,3016,168567,20791,189358
20200426,56,960343,4443794,4445,55050,101233,14831,2571,5121,227,116529,49164,101233,5408582,5404137,5404137,1095,2134,179387,27033,206420
